"frequency";"r dBS21";"i dBS21"
1;-1.25363e-14;0
1.00955;-1.35006e-14;0
1.0192;-1.35006e-14;0
1.02894;-1.35006e-14;0
1.03877;-1.54292e-14;0
1.04869;-1.54292e-14;0
1.05871;-1.54292e-14;0
1.06883;-1.06076e-14;0
1.07904;-1.54292e-14;0
1.08935;-1.54292e-14;0
1.09976;-1.73579e-14;0
1.11027;-1.54292e-14;0
1.12087;-1.15719e-14;0
1.13158;-1.15719e-14;0
1.14239;-1.15719e-14;0
1.15331;-9.64327e-15;0
1.16433;-1.35006e-14;0
1.17545;-1.25363e-14;0
1.18668;-1.54292e-14;0
1.19802;-1.73579e-14;0
1.20947;-1.73579e-14;0
1.22102;-1.54292e-14;0
1.23269;-2.02509e-14;0
1.24447;-1.63936e-14;0
1.25636;-2.12152e-14;0
1.26836;-1.83222e-14;0
1.28048;-2.31439e-14;0
1.29271;-1.73579e-14;0
1.30506;-2.12152e-14;0
1.31753;-1.83222e-14;0
1.33012;-2.12152e-14;0
1.34283;-1.92865e-14;0
1.35566;-2.12152e-14;0
1.36861;-2.12152e-14;0
1.38169;-1.92865e-14;0
1.39489;-2.12152e-14;0
1.40822;-2.31439e-14;0
1.42167;-2.12152e-14;0
1.43525;-2.12152e-14;0
1.44897;-1.92865e-14;0
1.46281;-2.41082e-14;0
1.47679;-1.83222e-14;0
1.4909;-2.31439e-14;0
1.50514;-2.21795e-14;0
1.51952;-2.50725e-14;0
1.53404;-2.41082e-14;0
1.5487;-2.31439e-14;0
1.56349;-2.12152e-14;0
1.57843;-3.08585e-14;0
1.59351;-2.21795e-14;0
1.60874;-2.98942e-14;0
1.62411;-2.70012e-14;0
1.63962;-3.27871e-14;0
1.65529;-2.89298e-14;0
1.67111;-3.47158e-14;0
1.68707;-2.50725e-14;0
1.70319;-3.27871e-14;0
1.71946;-3.08585e-14;0
1.73589;-3.27871e-14;0
1.75248;-2.70012e-14;0
1.76922;-3.56801e-14;0
1.78612;-2.89298e-14;0
1.80319;-3.08585e-14;0
1.82042;-3.85731e-14;0
1.83781;-3.08585e-14;0
1.85537;-3.66444e-14;0
1.8731;-3.95374e-14;0
1.89099;-3.66444e-14;0
1.90906;-3.66444e-14;0
1.9273;-3.47158e-14;0
1.94571;-3.76088e-14;0
1.9643;-4.05018e-14;0
1.98307;-3.85731e-14;0
2.00202;-3.85731e-14;0
2.02115;-4.05018e-14;0
2.04046;-3.85731e-14;0
2.05995;-3.66444e-14;0
2.07963;-4.14661e-14;0
2.0995;-4.62877e-14;0
2.11956;-4.43591e-14;0
2.13981;-4.33947e-14;0
2.16026;-4.43591e-14;0
2.1809;-4.62877e-14;0
2.20174;-5.0145e-14;0
2.22277;-5.20737e-14;0
2.24401;-5.20737e-14;0
2.26545;-5.0145e-14;0
2.28709;-5.40023e-14;0
2.30895;-5.3038e-14;0
2.33101;-5.5931e-14;0
2.35328;-5.5931e-14;0
2.37576;-5.68953e-14;0
2.39846;-5.5931e-14;0
2.42138;-5.40023e-14;0
2.44451;-5.5931e-14;0
2.46787;-5.78596e-14;0
2.49145;-6.36456e-14;0
2.51525;-6.26813e-14;0
2.53928;-6.36456e-14;0
2.56354;-5.78596e-14;0
2.58803;-5.97883e-14;0
2.61276;-5.8824e-14;0
2.63772;-6.55743e-14;0
2.66293;-6.75029e-14;0
2.68837;-6.84673e-14;0
2.71405;-6.94316e-14;0
2.73999;-7.13602e-14;0
2.76616;-7.32889e-14;0
2.79259;-8.00392e-14;0
2.81927;-7.71462e-14;0
2.84621;-7.71462e-14;0
2.8734;-7.81105e-14;0
2.90086;-8.29322e-14;0
2.92857;-8.58251e-14;0
2.95655;-9.06468e-14;0
2.9848;-8.87181e-14;0
3.01332;-9.06468e-14;0
3.04211;-8.77538e-14;0
3.07118;-9.06468e-14;0
3.10052;-9.16111e-14;0
3.13014;-9.45041e-14;0
3.16005;-9.64327e-14;0
3.19024;-1.02219e-13;0
3.22072;-1.02219e-13;0
3.25149;-1.02219e-13;0
3.28256;-1.06076e-13;0
3.31392;-1.13791e-13;0
3.34558;-1.14755e-13;0
3.37755;-1.17648e-13;0
3.40982;-1.17648e-13;0
3.4424;-1.15719e-13;0
3.47529;-1.19577e-13;0
3.50849;-1.19577e-13;0
3.54201;-1.20541e-13;0
3.57586;-1.23434e-13;0
3.61002;-1.2922e-13;0
3.64451;-1.30184e-13;0
3.67933;-1.33077e-13;0
3.71449;-1.31149e-13;0
3.74998;-1.3597e-13;0
3.7858;-1.33077e-13;0
3.82198;-1.40792e-13;0
3.85849;-1.47542e-13;0
3.89536;-1.50435e-13;0
3.93257;-1.50435e-13;0
3.97015;-1.54292e-13;0
4.00808;-1.54292e-13;0
4.04637;-1.62007e-13;0
4.08503;-1.63936e-13;0
4.12406;-1.65864e-13;0
4.16347;-1.67793e-13;0
4.20325;-1.70686e-13;0
4.24341;-1.73579e-13;0
4.28395;-1.77436e-13;0
4.32488;-1.85151e-13;0
4.3662;-1.8708e-13;0
4.40792;-1.89008e-13;0
4.45003;-1.89973e-13;0
4.49255;-2.0058e-13;0
4.53547;-2.01544e-13;0
4.57881;-2.02509e-13;0
4.62255;-2.06366e-13;0
4.66672;-2.10223e-13;0
4.71131;-2.16009e-13;0
4.75632;-2.16974e-13;0
4.80176;-2.20831e-13;0
4.84764;-2.35296e-13;0
4.89396;-2.39153e-13;0
4.94071;-2.35296e-13;0
4.98792;-2.41082e-13;0
5.03558;-2.47832e-13;0
5.08369;-2.51689e-13;0
5.13226;-2.55547e-13;0
5.18129;-2.64226e-13;0
5.2308;-2.70012e-13;0
5.28078;-2.73869e-13;0
5.33123;-2.83512e-13;0
5.38217;-2.83512e-13;0
5.43359;-2.93156e-13;0
5.4855;-2.97013e-13;0
5.53791;-2.98942e-13;0
5.59083;-3.03763e-13;0
5.64424;-3.09549e-13;0
5.69817;-3.12442e-13;0
5.75261;-3.25943e-13;0
5.80757;-3.298e-13;0
5.86306;-3.35586e-13;0
5.91908;-3.39443e-13;0
5.97563;-3.43301e-13;0
6.03272;-3.54873e-13;0
6.09036;-3.60658e-13;0
6.14855;-3.69337e-13;0
6.2073;-3.81874e-13;0
6.2666;-3.80909e-13;0
6.32648;-3.79945e-13;0
6.38692;-3.95374e-13;0
6.44795;-4.04053e-13;0
6.50955;-4.14661e-13;0
6.57175;-4.20447e-13;0
6.63454;-4.33947e-13;0
6.69792;-4.32019e-13;0
6.76192;-4.47448e-13;0
6.82652;-4.53234e-13;0
6.89175;-4.60949e-13;0
6.95759;-4.7252e-13;0
7.02407;-4.80235e-13;0
7.09118;-4.8795e-13;0
7.15893;-4.96629e-13;0
7.22733;-5.08201e-13;0
7.29638;-5.17844e-13;0
7.36609;-5.26523e-13;0
7.43647;-5.38095e-13;0
7.50752;-5.45809e-13;0
7.57925;-5.53524e-13;0
7.65167;-5.67025e-13;0
7.72477;-5.82454e-13;0
7.79858;-5.93061e-13;0
7.87309;-6.03669e-13;0
7.94831;-6.12348e-13;0
8.02425;-6.2392e-13;0
8.10092;-6.38385e-13;0
8.17832;-6.51885e-13;0
8.25646;-6.73101e-13;0
8.33534;-6.75029e-13;0
8.41498;-6.86601e-13;0
8.49538;-7.0203e-13;0
8.57655;-7.11674e-13;0
8.65849;-7.29032e-13;0
8.74122;-7.45425e-13;0
8.82473;-7.57961e-13;0
8.90905;-7.78212e-13;0
8.99417;-7.83034e-13;0
9.0801;-7.98463e-13;0
9.16685;-8.18714e-13;0
9.25444;-8.33179e-13;0
9.34286;-8.49572e-13;0
9.43212;-8.70788e-13;0
9.52224;-8.85253e-13;0
9.61322;-8.94896e-13;0
9.70507;-9.11289e-13;0
9.79779;-9.37326e-13;0
9.8914;-9.48898e-13;0
9.98591;-9.6722e-13;0
10.0813;-9.92293e-13;0
10.1776;-1.00772e-12;0
10.2749;-1.02412e-12;0
10.3731;-1.03762e-12;0
10.4722;-1.06269e-12;0
10.5722;-1.08583e-12;0
10.6732;-1.11187e-12;0
10.7752;-1.12633e-12;0
10.8781;-1.14659e-12;0
10.9821;-1.17359e-12;0
11.087;-1.19577e-12;0
11.1929;-1.21891e-12;0
11.2999;-1.23434e-12;0
11.4078;-1.26327e-12;0
11.5168;-1.28545e-12;0
11.6269;-1.30763e-12;0
11.738;-1.33945e-12;0
11.8501;-1.35777e-12;0
11.9633;-1.39442e-12;0
12.0776;-1.41853e-12;0
12.193;-1.44263e-12;0
12.3095;-1.47349e-12;0
12.4271;-1.50435e-12;0
12.5459;-1.53039e-12;0
12.6657;-1.55642e-12;0
12.7867;-1.595e-12;0
12.9089;-1.62103e-12;0
13.0322;-1.64707e-12;0
13.1568;-1.67889e-12;0
13.2825;-1.70975e-12;0
13.4094;-1.75315e-12;0
13.5375;-1.77436e-12;0
13.6668;-1.81486e-12;0
13.7974;-1.84572e-12;0
13.9292;-1.87658e-12;0
14.0623;-1.91901e-12;0
14.1967;-1.95662e-12;0
14.3323;-1.99423e-12;0
14.4692;-2.03666e-12;0
14.6075;-2.07523e-12;0
14.7471;-2.10898e-12;0
14.888;-2.16009e-12;0
15.0302;-2.19288e-12;0
15.1738;-2.24303e-12;0
15.3188;-2.27774e-12;0
15.4651;-2.32499e-12;0
15.6129;-2.37321e-12;0
15.7621;-2.41275e-12;0
15.9127;-2.45904e-12;0
16.0647;-2.50147e-12;0
16.2182;-2.55933e-12;0
16.3731;-2.60368e-12;0
16.5296;-2.65576e-12;0
16.6875;-2.7059e-12;0
16.8469;-2.75798e-12;0
17.0079;-2.80716e-12;0
17.1704;-2.86309e-12;0
17.3345;-2.91613e-12;0
17.5001;-2.97784e-12;0
17.6673;-3.02992e-12;0
17.8361;-3.08874e-12;0
18.0065;-3.1466e-12;0
18.1785;-3.21025e-12;0
18.3522;-3.27196e-12;0
18.5276;-3.33079e-12;0
18.7046;-3.39636e-12;0
18.8833;-3.46483e-12;0
19.0637;-3.5304e-12;0
19.2458;-3.59501e-12;0
19.4297;-3.66637e-12;0
19.6154;-3.73291e-12;0
19.8028;-3.8062e-12;0
19.992;-3.88431e-12;0
20.183;-3.95374e-12;0
20.3758;-4.03378e-12;0
20.5705;-4.11189e-12;0
20.767;-4.18711e-12;0
20.9655;-4.26811e-12;0
21.1658;-4.35201e-12;0
21.368;-4.43398e-12;0
21.5722;-4.51691e-12;0
21.7783;-4.60177e-12;0
21.9863;-4.69627e-12;0
22.1964;-4.78306e-12;0
22.4085;-4.87564e-12;0
22.6226;-4.97207e-12;0
22.8387;-5.06079e-12;0
23.0569;-5.15819e-12;0
23.2772;-5.26041e-12;0
23.4996;-5.36166e-12;0
23.7241;-5.46002e-12;0
23.9508;-5.57574e-12;0
24.1796;-5.68182e-12;0
24.4107;-5.78404e-12;0
24.6439;-5.89783e-12;0
24.8793;-6.01355e-12;0
25.1171;-6.12541e-12;0
25.357;-6.24209e-12;0
25.5993;-6.36553e-12;0
25.8439;-6.48896e-12;0
26.0908;-6.61046e-12;0
26.3401;-6.73872e-12;0
26.5917;-6.86601e-12;0
26.8458;-6.99909e-12;0
27.1023;-7.1312e-12;0
27.3613;-7.26524e-12;0
27.6227;-7.40603e-12;0
27.8866;-7.54876e-12;0
28.153;-7.69726e-12;0
28.422;-7.84384e-12;0
28.6936;-7.9962e-12;0
28.9677;-8.1505e-12;0
29.2445;-8.30479e-12;0
29.5239;-8.4668e-12;0
29.806;-8.62494e-12;0
30.0907;-8.7937e-12;0
30.3782;-8.96825e-12;0
30.6685;-9.13507e-12;0
30.9615;-9.30865e-12;0
31.2573;-9.4832e-12;0
31.556;-9.66835e-12;0
31.8575;-9.85446e-12;0
32.1618;-1.00435e-11;0
